date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
14:48:28	681897/681897	---MCZ	200	added ('OK')	text/html	date:Thu,%2003%20Oct%202024%2021:00:50%20GMT	https://donweb.com/es-ar/hacemos-tu-pagina-web-en-5-dias	C:/My%20Web%20Sites/donclon/donweb.com/es-ar/hacemos-tu-pagina-web-en-5-dias.html	(from )
14:48:28	110/110	---MCZ	200	added ('OK')	text/plain	etag:W/%2265b134a5-7c%22	https://donweb.com/robots.txt		(from )
14:48:30	85441/85441	---M--	200	added ('OK')	image/png	etag:%2260a8163d-14dc1%22	https://images.donweb.com/img/donweb-redes.png	C:/My%20Web%20Sites/donclon/images.donweb.com/img/donweb-redes.png	(from https://donweb.com/es-ar/hacemos-tu-pagina-web-en-5-dias)
14:48:31	122367/122367	---MCZ	200	added ('OK')	text/css	etag:W/%2266ffb0b8-1ddff%22	https://images.donweb.com/cache/css-min/22902/hacemos-tu-pagina-web-en-5-dias.min.css	C:/My%20Web%20Sites/donclon/images.donweb.com/cache/css-min/22902/hacemos-tu-pagina-web-en-5-dias.min.css	(from https://donweb.com/es-ar/hacemos-tu-pagina-web-en-5-dias)
14:48:32	5519/5519	---MCZ	404	error ('Not%20Found')	text/html	date:Fri,%2004%20Oct%202024%2017:48:32%20GMT	https://donweb.com/es-ar/pagina-web-hazlo-tu-mismo/bg-video.jpg	C:/My%20Web%20Sites/donclon/donweb.com/es-ar/pagina-web-hazlo-tu-mismo/bg-video.jpg	(from https://donweb.com/es-ar/hacemos-tu-pagina-web-en-5-dias)
14:48:32	43/43	---M--	200	added ('OK')	image/gif	etag:%225f3e726e-2b%22	https://images.donweb.com/img/px.gif	C:/My%20Web%20Sites/donclon/images.donweb.com/img/px.gif	(from https://donweb.com/es-ar/hacemos-tu-pagina-web-en-5-dias)
14:48:33	5519/5519	---MCZ	404	error ('Not%20Found')	text/html	date:Fri,%2004%20Oct%202024%2017:48:33%20GMT	https://donweb.com/es-ar/hacemos-tu-pagina-web-en-5-dias/bg-pagina-web-a-medida.jpg	C:/My%20Web%20Sites/donclon/donweb.com/es-ar/hacemos-tu-pagina-web-en-5-dias/bg-pagina-web-a-medida.jpg	(from https://donweb.com/es-ar/hacemos-tu-pagina-web-en-5-dias)
14:48:35	5519/5519	---MCZ	404	error ('Not%20Found')	text/html	date:Fri,%2004%20Oct%202024%2017:48:34%20GMT	https://donweb.com/es-ar/pagina-web-hazlo-tu-mismo/redes.png	C:/My%20Web%20Sites/donclon/donweb.com/es-ar/pagina-web-hazlo-tu-mismo/redes.png	(from https://donweb.com/es-ar/hacemos-tu-pagina-web-en-5-dias)
14:48:36	5519/5519	---MCZ	404	error ('Not%20Found')	text/html	date:Fri,%2004%20Oct%202024%2017:48:36%20GMT	https://donweb.com/es-ar/pagina-web-hazlo-tu-mismo/slide-2.2.png	C:/My%20Web%20Sites/donclon/donweb.com/es-ar/pagina-web-hazlo-tu-mismo/slide-2.2.png	(from https://donweb.com/es-ar/hacemos-tu-pagina-web-en-5-dias)
14:48:37	5519/5519	---MCZ	404	error ('Not%20Found')	text/html	date:Fri,%2004%20Oct%202024%2017:48:37%20GMT	https://donweb.com/es-ar/pagina-web-hazlo-tu-mismo/slide-2.3.png	C:/My%20Web%20Sites/donclon/donweb.com/es-ar/pagina-web-hazlo-tu-mismo/slide-2.3.png	(from https://donweb.com/es-ar/hacemos-tu-pagina-web-en-5-dias)
